place	day	hour	value
AUBER RER A	3	8	297.5
AUBER RER A	6	8	152.3529412
AUBER RER A	5	8	269.8461538
AUBER RER A	7	9	129.2352941
AUBER RER A	4	9	246.3137255
AUBER RER A	1	9	239.5098039
AUBER RER A	2	9	251.3921569
AUBER RER A	3	9	250.5192308
AUBER RER A	6	9	147.627451
AUBER RER A	5	9	257.122449
